vessel_id,vessel_name,cn_name,imo,mmsi,carrier,service,voyage_in,voyage_out,pol,pod,terminal,berth,eta,etb,etd,berth_code,ETB,ETD,ETA
COSCO Shipping Aries,COSCO Shipping Aries,中远海运白羊座,9708851,477355900,COSCO,PS3,PS3-14E,PS3-87W,Ningbo,Long Beach,SIPG (Waigaoqiao),B05,2025-12-03 11:00,2025-12-03 13:00,2025-12-03 21:00,B05,2025-12-03 13:00,2025-12-03 21:00,2025-12-03 11:00
MSC Sveva,MSC Sveva,地中海·斯薇娃,9708680,355906000,MSC,AE10,AE10-28E,AE10-30W,Busan,Rotterdam,SIPG (Yangshan),B10,2025-12-03 19:00,2025-12-03 23:00,2025-12-04 07:00,B10,2025-12-03 23:00,2025-12-04 07:00,2025-12-03 19:00
Ever Given,Ever Given,长赐轮,9811000,353136000,EVERGREEN,CES,CES-76E,CES-36W,Ningbo,Piraeus,SIPG (Waigaoqiao),B09,2025-12-04 02:00,2025-12-04 06:00,2025-12-04 14:00,B09,2025-12-04 06:00,2025-12-04 14:00,2025-12-04 02:00
CMA CGM Antoine,CMA CGM Antoine,达飞·安托万,9702135,228356700,CMA CGM,AEX1,AEX1-98E,AEX1-44W,Ningbo,Hamburg,SIPG (Yangshan),B07,2025-12-04 12:00,2025-12-04 14:00,2025-12-05 00:00,B07,2025-12-04 14:00,2025-12-05 00:00,2025-12-04 12:00
HMM Algeciras,HMM Algeciras,现代·阿尔赫西拉斯,9863297,441800000,HMM,CEM,CEM-06E,CEM-94W,Tanjung Pelepas,Felixstowe,SIPG (Yangshan),B02,2025-12-04 14:00,2025-12-04 16:00,2025-12-05 08:00,B02,2025-12-04 16:00,2025-12-05 08:00,2025-12-04 14:00
Maersk Mc-Kinney Moller,Maersk Mc-Kinney Moller,马士基·麦克-莫勒,9619907,220604000,MAERSK,AEX1,AEX1-47E,AEX1-74W,Kaohsiung,Los Angeles,SIPG (Waigaoqiao),B07,2025-12-05 01:00,2025-12-05 05:00,2025-12-05 13:00,B07,2025-12-05 05:00,2025-12-05 13:00,2025-12-05 01:00
ONE Columba,ONE Columba,海洋网联·天鸽,9806045,563079000,ONE,AEX1,AEX1-13E,AEX1-49W,Busan,Hamburg,SIPG (Waigaoqiao),B01,2025-12-05 07:00,2025-12-05 11:00,2025-12-05 19:00,B01,2025-12-05 11:00,2025-12-05 19:00,2025-12-05 07:00
Hapag-Lloyd Alnic,Hapag-Lloyd Alnic,赫伯罗特·阿尔尼克,9731674,211734000,HAPAG-LLOYD,CEM,CEM-35E,CEM-90W,Ningbo,Long Beach,SIPG (Yangshan),B03,2025-12-05 16:00,2025-12-05 19:00,2025-12-06 07:00,B03,2025-12-05 19:00,2025-12-06 07:00,2025-12-05 16:00
YM Wellbeing,YM Wellbeing,阳明·永泰,9864512,416012000,YANG MING,PS3,PS3-49E,PS3-35W,Ningbo,Piraeus,SIPG (Waigaoqiao),B10,2025-12-06 03:00,2025-12-06 07:00,2025-12-06 15:00,B10,2025-12-06 07:00,2025-12-06 15:00,2025-12-06 03:00
APL Temasek,APL Temasek,美总·淡马锡,9635779,563024700,APL,PS3,PS3-52E,PS3-35W,Busan,Felixstowe,SIPG (Waigaoqiao),B06,2025-12-06 11:00,2025-12-06 15:00,2025-12-07 01:00,B06,2025-12-06 15:00,2025-12-07 01:00,2025-12-06 11:00
OOCL Hong Kong,OOCL Hong Kong,东方海外香港,9776171,477333300,OOCL,CES,CES-19E,CES-34W,Kaohsiung,Piraeus,SIPG (Yangshan),B04,2025-12-06 14:00,2025-12-06 16:00,2025-12-07 04:00,B04,2025-12-06 16:00,2025-12-07 04:00,2025-12-06 14:00
MSC Gülsün,MSC Gülsün,地中海·古尔逊,9839430,248992000,MSC,CES,CES-18E,CES-66W,Xiamen,Hamburg,SIPG (Yangshan),B10,2025-12-06 23:00,2025-12-07 01:00,2025-12-07 13:00,B10,2025-12-07 01:00,2025-12-07 13:00,2025-12-06 23:00
